category,mutcd_code,occurrence,output_relpath,role,role_index,row_index,source_type,source_docx,source_partname,source_rid,source_web_url,bg_removed,width,height,sha256,fallback_relpath,fallback_sha256,source_web_provider,max_dim
REGULATORY_SIGNS,R1-1,1,REGULATORY_SIGNS/R1-1.png,image,1,2,wikimedia_png,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1164.png,rId7,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/MUTCD_R1-1.svg/3840px-MUTCD_R1-1.svg.png,True,2048,2048,fe837f01c9405ebef29d11ce0070cdb211d3497991fb2894d010d4364ecc42ad,_DOCX_FALLBACK/REGULATORY_SIGNS/R1-1.png,50bac8e1b5f1aab2c1fb221a00265cbdcf7c585092e3bf48868d52c77f3c8ff2,Wikimedia Commons (thumbnail from SVG),2048
REGULATORY_SIGNS,R1-1,2,REGULATORY_SIGNS/R1-1__2.png,notes,1,2,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1167.png,rId8,,True,183,185,74baacee7504b82d89d142935a51e0f0f7d975e84220717b76a4448650130fda,,,,185
REGULATORY_SIGNS,R1-2,1,REGULATORY_SIGNS/R1-2.png,image,1,3,wikimedia_png,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1163.png,rId9,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/MUTCD_R1-2.svg/3840px-MUTCD_R1-2.svg.png,True,2048,1807,f261da53e9b5a86a3d816a826ae6aac0794a5d850b2597a8831695d67381abf4,_DOCX_FALLBACK/REGULATORY_SIGNS/R1-2.png,8cfd0d7bfa6368ac3270f38595b549abf8d5e3b23669004b2dd4768a370d5bf7,Wikimedia Commons (thumbnail from SVG),2048
REGULATORY_SIGNS,R1-2,2,REGULATORY_SIGNS/R1-2__2.png,notes,1,3,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1173.png,rId10,,False,432,220,8df6634440d7f52e3b4625a235687b492bfd9d5b7c1ff419e9e5d943d696be05,,,,432
REGULATORY_SIGNS,R1-2aP,1,REGULATORY_SIGNS/R1-2aP.png,image,1,4,wikimedia_png,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1169.png,rId11,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/MUTCD_R1-2aP.svg/3840px-MUTCD_R1-2aP.svg.png,True,2048,1708,a3f4ec1fd191b19bac191f491355c3b8657036a0cae4265d98965b289caea2d9,_DOCX_FALLBACK/REGULATORY_SIGNS/R1-2aP.png,0f64fafe011f5029a05767f45df17a4e2a14fc4f0c8a59bbda86238d507fda48,Wikimedia Commons (thumbnail from SVG),2048
REGULATORY_SIGNS,R1-2bP,1,REGULATORY_SIGNS/R1-2bP.png,image,1,5,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1178.png,rId12,,False,230,148,a210850319c9e6c02fa0fa9ec5e21f1f54b11f66f9b2a694298bfdfbece8f213,,,,230
REGULATORY_SIGNS,R1-2cP,1,REGULATORY_SIGNS/R1-2cP.png,image,1,6,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1177.png,rId13,,False,230,146,4fff111755683bac8da50b9b7432d0251a5e82322e0503748731ca6d0cce48dc,,,,230
REGULATORY_SIGNS,R1-3P,1,REGULATORY_SIGNS/R1-3P.png,image,1,7,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1183.png,rId14,,True,230,80,35486b4507fcba51223b510d473b343d3f17d02f9531d528c61dab7fd5a5db25,,,,230
REGULATORY_SIGNS,R1-5R,1,REGULATORY_SIGNS/R1-5R.png,image,1,8,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1184.png,rId15,,False,230,228,d99d304e930e69eea35bf1c65cde479801e7b79e84c6a5ab249ebc7b98495c6a,,,,230
REGULATORY_SIGNS,R1-5L,1,REGULATORY_SIGNS/R1-5L.png,image,1,9,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1185.png,rId16,,False,230,230,bcccc92011129b7b4d3f8dc5ab99c8b222a94628d45b3c644490ea9cad2bdd80,,,,230
