# session_id,20260627T224138Z-seed
# base_commit,seed
# exported_by,
# exported_at,
# tool_version,ec-image-reconciler-csv-v1
record_id,mutcd_code,description,category,word_image,folder_image,image_source,folder_width,folder_height,bg_removed,hq_status,first_assessment,first_assessment_reasons,final_verdict,note,reviewer,reviewed_at
image1164.png,R1-1,Stop,REGULATORY SIGNS,word_images/image1164.png,REGULATORY_SIGNS/R1-1.png,wikimedia_png,2048,2048,True,hq,ok,HQ web · confirm identity; 2048x2048,,,,
image1163.png,R1-2,Yield,REGULATORY SIGNS,word_images/image1163.png,REGULATORY_SIGNS/R1-2.png,wikimedia_png,2048,1807,True,hq,ok,HQ web · confirm identity; 2048x1807,,,,
image1169.png,R1-2aP,To oncoming traffic (plaque),REGULATORY SIGNS,word_images/image1169.png,REGULATORY_SIGNS/R1-2aP.png,wikimedia_png,2048,1708,True,hq,ok,HQ web · confirm identity; 2048x1708,,,,
image1178.png,R1-2bP,To traffic in circle (plaque),REGULATORY SIGNS,word_images/image1178.png,REGULATORY_SIGNS/R1-2bP.png,docx_embedded,230,148,False,docx,ok,docx source; 230x148,,,,
image1177.png,R1-2cP,To all lanes (plaque),REGULATORY SIGNS,word_images/image1177.png,REGULATORY_SIGNS/R1-2cP.png,docx_embedded,230,146,False,docx,ok,docx source; 230x146,,,,
image1183.png,R1-3P,All Way,REGULATORY SIGNS,word_images/image1183.png,REGULATORY_SIGNS/R1-3P.png,docx_embedded,230,80,True,docx,ok,docx source; 230x80,,,,
image1184.png,R1-5R,Yield here to pedestrians (right),REGULATORY SIGNS,word_images/image1184.png,REGULATORY_SIGNS/R1-5R.png,docx_embedded,230,228,False,docx,ok,docx source; 230x228,,,,
image1185.png,R1-5L,Yield here to pedestrians (left),REGULATORY SIGNS,word_images/image1185.png,REGULATORY_SIGNS/R1-5L.png,docx_embedded,230,230,False,docx,ok,docx source; 230x230,,,,
image659.png,R1-5aR,Yield here to school crossing (right),REGULATORY SIGNS,word_images/image659.png,REGULATORY_SIGNS/R1-5aR.png,docx_embedded,230,228,False,docx,ok,docx source; 230x228,,,,
image662.png,R1-5aL,Yield here to school crossing (left),REGULATORY SIGNS,word_images/image662.png,REGULATORY_SIGNS/R1-5aL.png,docx_embedded,230,230,False,docx,ok,docx source; 230x230,,,,
image665.png,R1-5bR,Stop here for pedestrians (right),REGULATORY SIGNS,word_images/image665.png,REGULATORY_SIGNS/R1-5bR.png,docx_embedded,230,228,False,docx,ok,docx source; 230x228,,,,
image667.png,R1-5bL,Stop here for pedestrians (left),REGULATORY SIGNS,word_images/image667.png,REGULATORY_SIGNS/R1-5bL.png,docx_embedded,230,230,False,docx,ok,docx source; 230x230,,,,
image664.png,R1-5cR,Stop here for school crossing (right),REGULATORY SIGNS,word_images/image664.png,REGULATORY_SIGNS/R1-5cR.png,docx_embedded,230,230,False,docx,ok,docx source; 230x230,,,,
image666.png,R1-5cL,Stop here for school crossing (left),REGULATORY SIGNS,word_images/image666.png,REGULATORY_SIGNS/R1-5cL.png,docx_embedded,230,228,False,docx,ok,docx source; 230x228,,,,
image668.png,R1-5dR,Yield here to trail crossing,REGULATORY SIGNS,word_images/image668.png,REGULATORY_SIGNS/R1-5dR.png,docx_embedded,230,268,False,docx,ok,docx source; 230x268,,,,
image669.png,R1-5dL,Yield here to trail crossing,REGULATORY SIGNS,word_images/image669.png,REGULATORY_SIGNS/R1-5dL.png,docx_embedded,230,266,False,docx,ok,docx source; 230x266,,,,
image673.png,R1-5eR,Stop here for trail crossing,REGULATORY SIGNS,word_images/image673.png,REGULATORY_SIGNS/R1-5eR.png,docx_embedded,230,266,False,docx,ok,docx source; 230x266,,,,
image671.png,R1-5eL,Stop here for trail crossing,REGULATORY SIGNS,word_images/image671.png,REGULATORY_SIGNS/R1-5eL.png,docx_embedded,230,268,False,docx,ok,docx source; 230x268,,,,
image652.png,R1-6,In-street pedestrian crossing,REGULATORY SIGNS,word_images/image652.png,REGULATORY_SIGNS/R1-6.png,docx_embedded,124,363,True,docx,ok,docx source; 124x363,,,,
image655.png,R1-6,In-street pedestrian crossing,REGULATORY SIGNS,word_images/image655.png,REGULATORY_SIGNS/R1-6__2.png,docx_embedded,124,363,True,docx,ok,docx source; 124x363,,,,
image653.png,R1-6a,In-street pedestrian crossing,REGULATORY SIGNS,word_images/image653.png,REGULATORY_SIGNS/R1-6a.png,docx_embedded,124,364,False,docx,ok,docx source; 124x364,,,,
image657.png,R1-6a,In-street pedestrian crossing,REGULATORY SIGNS,word_images/image657.png,REGULATORY_SIGNS/R1-6a__2.png,docx_embedded,124,366,False,docx,ok,docx source; 124x366,,,,
image654.png,R1-6b,In-street school crossing,REGULATORY SIGNS,word_images/image654.png,REGULATORY_SIGNS/R1-6b.png,docx_embedded,124,363,True,docx,ok,docx source; 124x363,,,,
image656.png,R1-6c,In-street school crossing,REGULATORY SIGNS,word_images/image656.png,REGULATORY_SIGNS/R1-6c.png,docx_embedded,124,363,True,docx,ok,docx source; 124x363,,,,
image660.png,R1-6d,In-street trail crossing,REGULATORY SIGNS,word_images/image660.png,REGULATORY_SIGNS/R1-6d.png,docx_embedded,124,364,False,docx,ok,docx source; 124x364,,,,
image658.png,R1-6e,In-street trail crossing,REGULATORY SIGNS,word_images/image658.png,REGULATORY_SIGNS/R1-6e.png,docx_embedded,124,364,False,docx,ok,docx source; 124x364,,,,
image661.png,R1-7,Wait on stop,REGULATORY SIGNS,word_images/image661.png,REGULATORY_SIGNS/R1-7.png,docx_embedded,230,286,False,docx,ok,docx source; 230x286,,,,
image663.png,R1-7a,Wait on stop - Go on slow,REGULATORY SIGNS,word_images/image663.png,REGULATORY_SIGNS/R1-7a.png,docx_embedded,230,274,True,docx,ok,docx source; 230x274,,,,
image710.png,R1-8,Go on slow,REGULATORY SIGNS,word_images/image710.png,REGULATORY_SIGNS/R1-8.png,docx_embedded,230,286,False,docx,ok,docx source; 230x286,,,,
image711.png,R1-9,Overhead pedestrian crossing,REGULATORY SIGNS,word_images/image711.png,REGULATORY_SIGNS/R1-9.png,docx_embedded,230,64,True,docx,ok,docx source; 230x64,,,,
image712.png,R1-9,Overhead pedestrian crossing,REGULATORY SIGNS,word_images/image712.png,REGULATORY_SIGNS/R1-9__2.png,docx_embedded,230,64,True,docx,ok,docx source; 230x64,,,,
image714.png,R1-9a,Overhead pedestrian crossing,REGULATORY SIGNS,word_images/image714.png,REGULATORY_SIGNS/R1-9a.png,docx_embedded,230,64,True,docx,ok,docx source; 230x64,,,,
image719.png,R1-9a,Overhead pedestrian crossing,REGULATORY SIGNS,word_images/image719.png,REGULATORY_SIGNS/R1-9a__2.png,docx_embedded,230,64,True,docx,ok,docx source; 230x64,,,,
image715.png,R1-9b,Overhead school crossing,REGULATORY SIGNS,word_images/image715.png,REGULATORY_SIGNS/R1-9b.png,docx_embedded,230,64,True,docx,ok,docx source; 230x64,,,,
image723.png,R1-9c,Overhead school crossing,REGULATORY SIGNS,word_images/image723.png,REGULATORY_SIGNS/R1-9c.png,docx_embedded,230,64,True,docx,ok,docx source; 230x64,,,,
image721.png,R1-10P,Except right turn (plaque),REGULATORY SIGNS,word_images/image721.png,REGULATORY_SIGNS/R1-10P.png,docx_embedded,230,172,True,docx,ok,docx source; 230x172,,,,
image724.png,R2-1,Speed Limit,REGULATORY SIGNS,word_images/image724.png,REGULATORY_SIGNS/R2-1.png,docx_embedded,120,150,True,docx,lq,docx source; 120x150; low-res,,,,
image726.png,R2-2P,Truck speed limit (plaque),REGULATORY SIGNS,word_images/image726.png,REGULATORY_SIGNS/R2-2P.png,docx_embedded,120,120,True,docx,lq,docx source; 120x120; low-res,,,,
image681.png,R2-2aP,Buses speed limit (plaque),REGULATORY SIGNS,word_images/image681.png,REGULATORY_SIGNS/R2-2aP.png,docx_embedded,230,228,False,docx,ok,docx source; 230x228,,,,
image684.png,R2-2bP,Trucks and buses speed limit (plaque),REGULATORY SIGNS,word_images/image684.png,REGULATORY_SIGNS/R2-2bP.png,docx_embedded,230,286,False,docx,ok,docx source; 230x286,,,,
image685.png,R2-2cP,Vehicles over 5 tons speed limit (plaque),REGULATORY SIGNS,word_images/image685.png,REGULATORY_SIGNS/R2-2cP.png,docx_embedded,230,284,True,docx,ok,docx source; 230x284,,,,
image689.png,R2-3P,Night speed limit (plaque),REGULATORY SIGNS,word_images/image689.png,REGULATORY_SIGNS/R2-3P.png,docx_embedded,230,230,True,docx,ok,docx source; 230x230,,,,
image692.png,R2-4P,Minimum speed limit (plaque),REGULATORY SIGNS,word_images/image692.png,REGULATORY_SIGNS/R2-4P.png,docx_embedded,230,286,False,docx,ok,docx source; 230x286,,,,
image697.png,R2-4a,Combined speed limit,REGULATORY SIGNS,word_images/image697.png,REGULATORY_SIGNS/R2-4a.png,docx_embedded,230,454,False,docx,ok,docx source; 230x454,,,,
image693.png,R2-5P,Unless otherwise posted (plaque),REGULATORY SIGNS,word_images/image693.png,REGULATORY_SIGNS/R2-5P.png,docx_embedded,230,174,True,docx,ok,docx source; 230x174,,,,
image695.png,R2-5aP,Citywide (plaque,REGULATORY SIGNS,word_images/image695.png,REGULATORY_SIGNS/R2-5aP.png,docx_embedded,230,62,True,docx,ok,docx source; 230x62,,,,
image699.png,R2-5bP,Neighborhood (plaque),REGULATORY SIGNS,word_images/image699.png,REGULATORY_SIGNS/R2-5bP.png,docx_embedded,230,60,True,docx,ok,docx source; 230x60,,,,
image701.png,R2-5cP,Residental (plaque),REGULATORY SIGNS,word_images/image701.png,REGULATORY_SIGNS/R2-5cP.png,docx_embedded,230,60,True,docx,ok,docx source; 230x60,,,,
image781.png,R2-6P,Fines higher (plaque),REGULATORY SIGNS,word_images/image781.png,REGULATORY_SIGNS/R2-6P.png,docx_embedded,230,172,False,docx,ok,docx source; 230x172,,,,
image790.png,R2-6aP,Fines double (plaque),REGULATORY SIGNS,word_images/image790.png,REGULATORY_SIGNS/R2-6aP.png,docx_embedded,230,174,False,docx,ok,docx source; 230x174,,,,
image785.png,R2-6bP,Speeding fine (plaque),REGULATORY SIGNS,word_images/image785.png,REGULATORY_SIGNS/R2-6bP.png,docx_embedded,230,174,False,docx,ok,docx source; 230x174,,,,
image792.png,R2-10,Begin higher/double fines zone,REGULATORY SIGNS,word_images/image792.png,REGULATORY_SIGNS/R2-10.png,docx_embedded,230,286,False,docx,ok,docx source; 230x286,,,,
image789.png,R2-11,End higher/double fines zone,REGULATORY SIGNS,word_images/image789.png,REGULATORY_SIGNS/R2-11.png,docx_embedded,230,286,False,docx,ok,docx source; 230x286,,,,
image794.png,R2-12,End work zone speed limit,REGULATORY SIGNS,word_images/image794.png,REGULATORY_SIGNS/R2-12.png,docx_embedded,230,342,False,docx,ok,docx source; 230x342,,,,
image791.png,R2-13,End variable speed limit,REGULATORY SIGNS,word_images/image791.png,REGULATORY_SIGNS/R2-13.png,docx_embedded,230,284,False,docx,ok,docx source; 230x284,,,,
image800.png,R2-14,End truck speed limit,REGULATORY SIGNS,word_images/image800.png,REGULATORY_SIGNS/R2-14.png,docx_embedded,230,284,False,docx,ok,docx source; 230x284,,,,
